"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"SACS",0.47416735261805,5.36464179104478,3.98851884673937,9.42776148698134e-05,0.00333567895854616,1.17126873172497,"SACS","UP","SACS"
"LYZ",0.508008247666111,9.74811940298507,3.98056692849766,9.72390187409892e-05,0.00339859832732526,1.14320030367922,"LYZ","UP","LYZ"
"TUBE1",0.427172892473373,4.3818855721393,3.954633599637,0.000107524119354995,0.00354263677453825,1.05198946487141,"TUBE1","UP","TUBE1"
"KLHL28",0.477329703591009,4.82541791044776,3.92510495687217,0.000120493453113401,0.00377734718742981,0.948746003381628,"KLHL28","UP","KLHL28"
"NFXL1",0.479331845361307,5.52862686567164,3.90009541760071,0.000132627522002703,0.00399280528086868,0.861814962347123,"NFXL1","UP","NFXL1"
"MIB1",0.414814590548494,3.67550746268657,3.82715134193228,0.000174993769029296,0.00461854437575079,0.610963415013393,"MIB1","UP","MIB1"
"SUB1",0.371041321697186,6.08408955223881,3.81486989740433,0.000183283498084435,0.00474358531476409,0.56912477858823,"SUB1","UP","SUB1"
"PKN2",0.377068076359197,5.63381592039801,3.78674999463088,0.000203686691958633,0.00503427252637058,0.473762598835918,"PKN2","UP","PKN2"
"TMEM55A",0.413408504840469,5.7307263681592,3.73735904783157,0.000244824550010985,0.00566319328616635,0.307727680903863,"TMEM55A","UP","TMEM55A"
"ZBTB21",0.374773461125161,3.66638805970149,3.64189164415452,0.000347552311457554,0.00696449087637953,-0.00787797469639706,"ZBTB21","UP","ZBTB21"
"SOAT1",0.375749832344177,5.3708407960199,3.54382910033313,0.000494538294469865,0.00855491460692603,-0.324689257907437,"SOAT1","UP","SOAT1"
"TXLNG2P",-0.590557946296837,3.25365174129353,-3.49385336236814,0.000590254520474926,0.00953524351782186,-0.483244576097288,"TXLNG2P","DOWN","TXLNG2P"
"TMEM170B",0.358924527760123,6.71980597014925,3.44733555647055,0.000694727023067098,0.0105880287810477,-0.629055664469346,"TMEM170B","UP","TMEM170B"
"CXCL5.1",0.399891129315959,3.24602985074627,3.43240530298496,0.000731773398124291,0.0108826167121201,-0.6754908957518,"CXCL5.1","UP","CXCL5.1"
"TRIM51EP",0.390000545386769,3.01293034825871,3.43142539074115,0.000734268402446728,0.0108873905535254,-0.67853236390021,"TRIM51EP","UP","TRIM51EP"
"ZNF92",0.351879643869454,4.16930845771144,3.407101998752,0.000798811188464099,0.0114625972258688,-0.753782618367896,"ZNF92","UP","ZNF92"
"CNTNAP3B.1",0.442078276549165,5.32598507462687,3.40342058074837,0.000809030226170076,0.0115678040618408,-0.765130868300615,"CNTNAP3B.1","UP","CNTNAP3B.1"
"PDE3B",0.381611233588051,4.09260696517413,3.39109506681356,0.000844140639551139,0.0118915789672914,-0.803046430103478,"PDE3B","UP","PDE3B"
"GBP3",0.356662241258146,4.79199004975124,3.35209325379889,0.000964850498729592,0.0128339211092637,-0.922222392903362,"GBP3","UP","GBP3"
"TRPC1",0.352898663841939,3.1944328358209,3.35045682702758,0.000970251388396743,0.0128630548063293,-0.927196088959531,"TRPC1","UP","TRPC1"
"KLC3",-0.38816411001078,5.03767164179104,-3.32600787067307,0.00105437732929267,0.0135392863207634,-1.00124913950587,"KLC3","DOWN","KLC3"
"USP53",0.378513170381118,4.74639303482587,3.30280582971989,0.0011404583095692,0.0142163415415621,-1.07108047356717,"USP53","UP","USP53"
"PRSS33",-0.378668899768294,7.27456218905473,-3.22830089176064,0.00146316282430338,0.0167008989723335,-1.29237605396297,"PRSS33","DOWN","PRSS33"
"C4ORF32",0.357791908835822,4.49510945273632,3.22215505761074,0.00149325810639943,0.0168713741609664,-1.31042941741585,"C4ORF32","UP","C4ORF32"
"CCL23",-0.470770624443987,4.72257711442786,-3.20850418051777,0.00156217207591819,0.0173672933466351,-1.35041882647181,"CCL23","DOWN","CCL23"
"CFH.1",0.352051675842718,3.15850746268657,3.18997059251636,0.00166046495043696,0.0179991525363383,-1.4044687459393,"CFH.1","UP","CFH.1"
"HBQ1",-0.422716721343584,7.49181094527363,-3.18209534344565,0.00170394245935407,0.0183512770676241,-1.4273506377462,"HBQ1","DOWN","HBQ1"
"TFEC",0.438650648557729,4.11086069651741,3.13075548730992,0.00201425445271021,0.0203818816608563,-1.57527697057355,"TFEC","UP","TFEC"
"FIGNL1",0.351424491495192,5.48996517412935,3.10310748762114,0.00220226578962536,0.0216678724448798,-1.65404337719033,"FIGNL1","UP","FIGNL1"
"CLVS1",0.40439578911548,4.91756218905473,3.028678999396,0.00279186607035345,0.0254327699505777,-1.86294895418463,"CLVS1","UP","CLVS1"
"GSTT1",-0.352942913029683,4.39041293532338,-3.02391195964346,0.00283418497670516,0.0256897707933746,-1.87617278953729,"GSTT1","DOWN","GSTT1"
"LTF",-0.38671399249126,3.81618905472637,-2.92214434230894,0.00389077142540313,0.0315163498559141,-2.1539634350352,"LTF","DOWN","LTF"
"CFH",0.362291329915982,3.85094029850746,2.9091136238944,0.00404945387105036,0.032473442732138,-2.18890760018358,"CFH","UP","CFH"
"HBD",-0.47190932818807,7.78222388059701,-2.85844111776257,0.00472439627493814,0.0358850194727014,-2.32343866226165,"HBD","DOWN","HBD"
"CPA3",0.46536369473247,4.30242288557214,2.77750206247083,0.00601768964640228,0.0416538904618972,-2.53382936017318,"CPA3","UP","CPA3"
"C2ORF69",0.35712453882674,5.4904776119403,2.77272519835522,0.00610323543688054,0.0419993171664689,-2.5460726991095,"C2ORF69","UP","C2ORF69"
