"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"HMDB08538",0.364952998941177,0.02713386745,2.64915276414345,0.00854861496337492,0.0131282301223258,-3.57583854919611,"HMDB08538","UP","HMDB08538"
"HMDB29220",0.33929165882353,-0.09107072,2.6350659627902,0.00890207885528652,0.0135500669301706,-3.61195831512356,"HMDB29220","UP","HMDB29220"
"HMDB13442",-0.350334308055243,0.26236835848,-2.61179371582064,0.00951485662441688,0.0143557485912255,-3.67122983110057,"HMDB13442","DOWN","HMDB13442"
"HMDB10382",-0.34330254866445,0.166078012965,-2.59256398025092,0.0100494485134204,0.0149009064164509,-3.7198286499986,"HMDB10382","DOWN","HMDB10382"
"HMDB10405",0.327545411057801,-0.09958852063,2.58118369499658,0.01037834821586,0.0152570589156233,-3.74842893274878,"HMDB10405","UP","HMDB10405"
"HMDB10384",-0.325258610931969,0.17855494082,-2.52568499050951,0.0121243321220027,0.0176727552964786,-3.88618870411137,"HMDB10384","DOWN","HMDB10384"
"HMDB00824",-0.329152081646547,0.097926135665,-2.45071419748833,0.0148969255467577,0.0215316907062381,-4.06774700242907,"HMDB00824","DOWN","HMDB00824"
"HMDB13439",-0.317399462825064,0.227971661805,-2.39166963575271,0.017461907933293,0.0250287347043866,-4.20705446196367,"HMDB13439","DOWN","HMDB13439"
"HMDB02013",0.32682348329821,-0.10141779308,2.34936135134012,0.0195320185236878,0.0277645221989612,-4.30487330733791,"HMDB02013","UP","HMDB02013"
"HMDB10396",-0.31001985179335,0.13075476256,-2.31609129319783,0.0213083229621475,0.0300412422089293,-4.38061873768587,"HMDB10396","DOWN","HMDB10396"
"HMDB00946",0.310171931170332,0.06854769387,2.13108587670621,0.033992520823695,0.0471509159812543,-4.78283717815169,"HMDB00946","UP","HMDB00946"
