"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","diffexpressed","delabel"
"FAR1",0.410378711910408,5.93630845771144,3.75784367314661,0.000229168291203929,0.0064932096313962,0.384671764714624,"FAR1","UP","FAR1"
"PWAR6",0.358993186655716,3.5857263681592,3.68690012448718,0.000297649869745134,0.00750002791287361,0.149940767869166,"PWAR6","UP","PWAR6"
"PPIP5K2",0.378752452114282,6.62218905472637,3.65257163171531,0.000337337838220401,0.00797833700775104,0.0377345656117249,"PPIP5K2","UP","PPIP5K2"
"CFH.1",0.434683644987713,3.15850746268657,3.64242516319107,0.000349992358965552,0.00819047539111909,0.00474249571482765,"CFH.1","UP","CFH.1"
"PDE3B",0.440806285180729,4.09260696517413,3.64090966576458,0.00035192044946141,0.00821639911842771,-0.000178491156207272,"PDE3B","UP","PDE3B"
"TRPC1",0.416018346868256,3.1944328358209,3.63431502336796,0.000360427672440388,0.00832766682159844,-0.0215714981902577,"TRPC1","UP","TRPC1"
"HBD",-0.633345984887481,7.78222388059701,-3.59814448333065,0.000410641665792865,0.00895867663388206,-0.13831405145611,"HBD","DOWN","HBD"
"SOAT1",0.410499305827393,5.3708407960199,3.59211275914733,0.000419630783525882,0.00899718047656202,-0.15768375429619,"SOAT1","UP","SOAT1"
"HBQ1",-0.513161998055362,7.49181094527363,-3.57046584458959,0.000453439923039338,0.00938358320074796,-0.226967225602378,"HBQ1","DOWN","HBQ1"
"PKN2",0.380479611532869,5.63381592039801,3.56876853051779,0.000456196454985041,0.00940303479087905,-0.23238435895177,"PKN2","UP","PKN2"
"UBE2O",-0.36380567086099,5.73903482587065,-3.55465277887658,0.000479739610474875,0.00964341781311002,-0.277349650550444,"UBE2O","DOWN","UBE2O"
"LYZ",0.489197309572486,9.74811940298507,3.53199239341683,0.000519937050191448,0.010067904723828,-0.349210459325264,"LYZ","UP","LYZ"
"TSPAN2",0.353701226185069,3.8458407960199,3.52448258314721,0.000533942543487621,0.0102095478885243,-0.372937622796844,"TSPAN2","UP","TSPAN2"
"ST6GALNAC4",-0.357044501820754,4.65934328358209,-3.46566918555578,0.00065653181291833,0.0115156788473888,-0.557237398292547,"ST6GALNAC4","DOWN","ST6GALNAC4"
"HMBS",-0.373520270276559,7.26097512437811,-3.4259425366437,0.00075376894632375,0.0126319324165078,-0.680193988451996,"HMBS","DOWN","HMBS"
"CCDC82",0.39817369333175,4.0447960199005,3.41297613090778,0.000788319749276128,0.0129216504877831,-0.720057284183273,"CCDC82","UP","CCDC82"
"ZNF181.1",0.361750689464918,3.86706467661692,3.40266683227605,0.000816841846713534,0.0131008613878027,-0.751657142896589,"ZNF181.1","UP","ZNF181.1"
"SP3",0.373137814636594,5.39562686567164,3.39787647666173,0.000830420906749819,0.0132338294314685,-0.766311913351727,"SP3","UP","SP3"
"TGDS",0.361203664198286,4.78763184079602,3.39363130236763,0.000842630696517996,0.0133435400099988,-0.77928371015062,"TGDS","UP","TGDS"
"CDKL1",-0.395545769764278,6.14624378109453,-3.37282452810674,0.0009049394239646,0.0138591334410236,-0.842656076239062,"CDKL1","DOWN","CDKL1"
"CLVS1",0.470553717126382,4.91756218905473,3.33362649933778,0.00103417497816949,0.0151336621967719,-0.961111923661683,"CLVS1","UP","CLVS1"
"C4ORF32",0.387838345131069,4.49510945273632,3.32704085186769,0.00105750838014014,0.0153618621254295,-0.980893903437884,"C4ORF32","UP","C4ORF32"
"GATA1",-0.355062765356439,5.92426865671642,-3.31784181390568,0.00109092393828623,0.0156814639384582,-1.00846820440809,"GATA1","DOWN","GATA1"
"AHSP",-0.648619413400621,7.87797512437811,-3.30290538951736,0.00114728453607575,0.0161130369596754,-1.05309680813908,"AHSP","DOWN","AHSP"
"PCMTD1",0.357104668257952,7.8614776119403,3.29587918123958,0.00117472489412582,0.0163077540395901,-1.07402889261503,"PCMTD1","UP","PCMTD1"
"TMEM170B",0.366040752772677,6.71980597014925,3.29035652082085,0.00119672104152057,0.0165101349199312,-1.0904540205749,"TMEM170B","UP","TMEM170B"
"LRRC40",0.375471627141858,5.85170646766169,3.27358356887033,0.00126589972909037,0.0170534656174434,-1.14018953804576,"LRRC40","UP","LRRC40"
"USP53",0.399798355358038,4.74639303482587,3.24740921747304,0.00138132655367786,0.0178982752414456,-1.21735217002695,"USP53","UP","USP53"
"TSPAN13",0.372533514609553,7.38549253731343,3.22373099853055,0.00149410177501457,0.0188937130461617,-1.28668233444033,"TSPAN13","UP","TSPAN13"
"THEM5",-0.391155047337421,4.30760696517413,-3.21370476526961,0.00154438448737851,0.0192754579758046,-1.31590335447396,"THEM5","DOWN","THEM5"
"TFEC",0.477082617946387,4.11086069651741,3.19462836306707,0.00164441924084147,0.0199159650740848,-1.37127695063177,"TFEC","UP","TFEC"
"ESPN",-0.461912191344323,3.61628855721393,-3.08973551505882,0.00231036323171974,0.0243947311203233,-1.67048661537757,"ESPN","DOWN","ESPN"
"NFXL1",0.401856530887809,5.52862686567164,3.07917915507406,0.00238964794676766,0.0248028122640672,-1.70010306655895,"NFXL1","UP","NFXL1"
"OSBP2",-0.459795112548039,5.88137810945274,-3.06714384131069,0.00248309955396031,0.0253524211340127,-1.73375769035154,"OSBP2","DOWN","OSBP2"
"OR2W3",-0.474482365529417,6.89429353233831,-3.05471505468807,0.00258313463465306,0.026041949170292,-1.76838818507588,"OR2W3","DOWN","OR2W3"
"PRSS33",-0.379466730213753,7.27456218905473,-3.04822859929802,0.00263680481311407,0.026352633290202,-1.78641122955106,"PRSS33","DOWN","PRSS33"
"GBP3",0.351186038878435,4.79199004975124,3.02880779760602,0.00280370018664943,0.0273435842935547,-1.84016686171099,"GBP3","UP","GBP3"
"CCL23",-0.477097657751869,4.72257711442786,-3.00969881218949,0.00297735790798715,0.028458410228481,-1.89275698738656,"CCL23","DOWN","CCL23"
"IFI27",-0.700940580114029,6.32793532338308,-3.00906626157138,0.00298327201475832,0.028458410228481,-1.89449270346667,"IFI27","DOWN","IFI27"
"FECH",-0.389304213796365,4.54355721393035,-2.97358403518758,0.00333284475068968,0.0305135036772467,-1.9913277588724,"FECH","DOWN","FECH"
"SRRD",-0.366055508918683,6.2885671641791,-2.94812213589894,0.00360645564379737,0.0318985913891753,-2.060175479957,"SRRD","DOWN","SRRD"
"ATP6V1G1",0.353064651446954,4.81948258706468,2.9325449315207,0.00378384752000636,0.0329700015314343,-2.10203084868063,"ATP6V1G1","UP","ATP6V1G1"
"TRIM51EP",0.357459319894414,3.01293034825871,2.89456093510444,0.00425041632076331,0.0355508725417664,-2.20324809117989,"TRIM51EP","UP","TRIM51EP"
"C2ORF69",0.385522117710156,5.4904776119403,2.86861812718265,0.0045986954032868,0.0374289150727596,-2.27168870539732,"C2ORF69","UP","C2ORF69"
"SPTB",-0.409229847821525,5.99909452736318,-2.86642817179597,0.0046292564448112,0.0375438320252866,-2.27744041204425,"SPTB","DOWN","SPTB"
"SLC6A8",-0.42166076219169,6.24889552238806,-2.82731460758965,0.00520725306478832,0.0404152240967995,-2.37949332121831,"SLC6A8","DOWN","SLC6A8"
"TMEM158",-0.467338670497263,7.17842786069652,-2.81033771278337,0.00547799929064893,0.0417244417453534,-2.42338982000669,"TMEM158","DOWN","TMEM158"
"PLEK2",-0.430952027593418,7.10509452736318,-2.80956368412448,0.00549064342042604,0.0417730987459075,-2.42538543338675,"PLEK2","DOWN","PLEK2"
"SELENBP1",-0.438187885416038,9.48526865671642,-2.80675236418817,0.00553679136814822,0.0419206685348093,-2.43262939438638,"SELENBP1","DOWN","SELENBP1"
"KLF1",-0.426720262381892,8.43292537313433,-2.79359675321445,0.00575746532368751,0.0427849983012176,-2.46643940990452,"KLF1","DOWN","KLF1"
"CCDC144B",0.366001746248053,4.5652736318408,2.78089740801863,0.00597803949601046,0.0439295991137496,-2.49893882614383,"CCDC144B","UP","CCDC144B"
"RAP1GAP",-0.546415975292683,3.64126865671642,-2.76596107389522,0.00624727364598884,0.0451036805317288,-2.53698931371211,"RAP1GAP","DOWN","RAP1GAP"
"KEL",-0.396619118718832,5.23132835820896,-2.76246108747295,0.00631193311610903,0.0453517375114405,-2.5458783908655,"KEL","DOWN","KEL"
"ANK1",-0.421858359344588,6.92728855721393,-2.73322901047588,0.00687614435777911,0.0478899718572028,-2.61971682577927,"ANK1","DOWN","ANK1"
