Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
027_S_0256	0.0	0.018226	0.015344	0.082837	0.05599	0.075829	0.032692	0.0	0.000431	0.010582	0.16723	0.037809	0.167316	0.0	0.0	0.103604	0.0	0.0	0.004094	0.0	0.038702	0.189314
027_S_0307	0.0	0.0	0.035405	0.024433	0.039815	0.079171	0.045407	0.0	0.014327	0.0	0.099634	0.0	0.210306	0.0	0.020618	0.09049	0.0	0.0	0.018466	0.0	0.054891	0.267038
027_S_0408	0.0	0.0	0.0	0.0566	0.084355	0.043665	0.050686	0.0	0.006145	0.0	0.106521	0.0	0.145011	0.0	0.005243	0.117412	0.0	0.0	0.032837	0.0	0.087257	0.264266
027_S_0644	0.0	0.0	0.0	0.043998	0.050193	0.008758	0.049616	0.0	0.0	0.0	0.207231	0.0	0.129937	0.0	0.006961	0.113969	0.0	0.0	0.009807	0.0	0.067167	0.312362
027_S_0835	0.0	0.0	0.0	0.068505	0.070884	0.019908	0.051125	0.0	0.00573	0.013154	0.143483	0.004674	0.190141	0.0	0.0	0.123859	0.0	0.0	0.015705	0.0	0.049256	0.243576
027_S_1045	0.0	0.027868	0.0	0.014824	0.046547	0.028539	0.037357	0.0	0.0	0.0	0.12973	0.0	0.219789	0.0	0.012089	0.123504	0.0	0.0	0.018072	0.0	0.06397	0.277713
027_S_1387	0.0	0.0	0.0	0.045249	0.050476	0.0	0.053804	0.0	0.0	0.045351	0.191416	0.0	0.164563	0.0	0.0	0.102676	0.0	0.0	0.010338	0.0	0.075457	0.260669
029_S_0878	0.0	0.0	0.0	0.070049	0.065641	0.001577	0.047556	0.0	0.0	0.0	0.20255	0.008891	0.169489	0.0	0.005577	0.104937	0.0	0.0	0.0	0.0	0.088234	0.235498
029_S_0914	0.0	0.0	0.003143	0.011435	0.058197	0.040091	0.059372	0.0	0.0	0.0	0.151117	0.0	0.199036	0.0	0.0	0.114619	0.0	0.0	0.037394	0.0	0.049028	0.276569
029_S_1218	0.0	0.000972	0.00058	0.042774	0.06546	0.028562	0.042293	0.0	0.007114	0.0	0.142543	0.0	0.199725	0.0	0.006836	0.112831	0.0	0.0	0.014623	0.0	0.08422	0.251466
029_S_1318	0.0	0.053031	0.01618	0.002145	0.107474	0.037635	0.047416	0.0	0.008417	0.002081	0.107394	0.0	0.157678	0.0	0.009579	0.114906	0.0	0.0	0.007883	0.0	0.05949	0.268691
031_S_0294	0.0	0.0	0.0	0.038537	0.14665	0.038822	0.055696	0.0	0.029361	0.0	0.105654	0.004026	0.240596	0.0	0.002735	0.106221	0.0	0.0	0.037832	0.0	0.035518	0.158351
031_S_0830	0.0	0.005916	0.015083	0.098034	0.082736	0.036919	0.050139	0.0	0.012036	0.000993	0.119696	0.030262	0.161825	0.0	0.0	0.093431	0.0	0.0	0.000723	0.0	0.059904	0.232303
031_S_0867	0.0	0.0	0.007061	0.063874	0.081011	0.021853	0.069659	0.0	0.0	0.017175	0.142671	0.0	0.151535	0.0	0.003818	0.113793	0.0	0.0	0.012848	0.0	0.042202	0.272499
031_S_1066	0.0	0.0	0.0	0.019143	0.088532	0.036045	0.045168	0.0	0.0	0.0	0.122388	0.0	0.160537	0.0	0.0	0.102203	0.0	0.0	0.015923	0.0	0.057567	0.352494
031_S_4029	0.0	0.041994	0.013685	0.069702	0.068319	0.058044	0.066292	0.0	0.0	0.0	0.123701	0.0	0.138294	0.0	0.0	0.122383	0.0	0.0	0.006275	0.0	0.044962	0.246349
031_S_4203	0.0	0.0	0.0	0.0	0.069091	0.037217	0.021087	0.0	0.0	0.0	0.086676	0.0	0.163837	0.0	0.0	0.106506	0.0	0.00824	0.097149	0.0	0.109795	0.300401
031_S_4590	0.0	0.070521	0.014548	0.052438	0.101711	0.072832	0.069855	0.0	0.0	0.008284	0.147672	0.00381	0.130961	0.0	0.005494	0.100928	0.0	0.0	0.0	0.0	0.052599	0.168347
032_S_0214	0.0	0.0	0.011729	0.05113	0.070801	0.032742	0.04438	0.0	0.0	0.0	0.110559	0.004807	0.114996	0.0	0.015069	0.1047	0.0	0.0	0.019782	0.0	0.060363	0.358943
032_S_0978	0.0	0.0	0.0	0.0	0.076644	0.05548	0.059509	0.0	0.0	0.0	0.080737	0.0	0.22382	0.0	0.0	0.118212	0.0	0.0	0.006095	0.0	0.06951	0.309994
033_S_0906	0.0	0.007182	0.0	0.085902	0.083091	0.022449	0.048519	0.0	0.0	0.039036	0.127061	0.029097	0.218973	0.0	0.009794	0.103569	0.0	0.0	0.005349	0.0	0.072909	0.147068
033_S_0922	0.0	0.0	0.001758	0.035463	0.064231	0.074586	0.054609	0.0	0.0	0.0	0.13022	0.0	0.156087	0.0	0.0	0.101446	0.0	0.0	0.003353	0.0	0.056937	0.321309
033_S_1116	0.0	0.0	0.0	0.049582	0.086542	0.010317	0.044066	0.0	0.0	0.0	0.178292	0.0	0.198667	0.0	0.004131	0.115338	0.0	0.0	0.013184	0.0	0.047117	0.252764
035_S_0292	0.0	0.0	0.0	0.067515	0.024062	0.029608	0.051503	0.0	0.0	0.007385	0.194065	0.0	0.14472	0.0	0.005538	0.111482	0.0	0.0	0.011397	0.0	0.047785	0.304939
035_S_0997	0.0	0.038998	0.001254	0.010643	0.105884	0.099005	0.056368	0.0	0.0	0.0	0.120377	0.001084	0.132181	0.0	0.011489	0.104812	0.0	0.0	0.016506	0.0	0.043054	0.258346
035_S_4114	0.0	0.006222	0.008387	0.040082	0.081422	0.077891	0.055511	0.0	0.0	0.036503	0.137299	0.0	0.108499	0.0	0.005847	0.097724	0.0	0.0	0.013796	0.0	0.055828	0.27499
035_S_4414	0.0	0.03091	0.00676	0.097723	0.073367	0.051679	0.064091	0.0	0.0	0.033763	0.146964	0.011368	0.113225	0.0	0.00703	0.109619	0.0	0.0	4.2e-05	0.0	0.053726	0.199732
035_S_4582	0.0	0.032404	0.0088	0.047857	0.102473	0.061425	0.058339	0.0	0.001861	0.013186	0.151616	0.0	0.123907	0.0	0.003144	0.089105	0.0	0.0	0.011808	0.0	0.085324	0.208752
036_S_0673	0.0	0.029644	0.005577	0.0	0.118441	0.041164	0.033475	0.0	0.0	0.0	0.104569	0.0	0.121136	0.0	0.011309	0.120927	0.0	0.0	0.009776	0.0	0.053529	0.350452
036_S_0945	0.0	0.0	0.0	0.028894	0.064195	0.025352	0.04429	0.0	0.0	0.0	0.149045	0.0	0.149767	0.0	0.005221	0.112255	0.0	0.0	0.023748	0.0	0.050301	0.346932
036_S_4430	0.0	0.0	0.0	0.005083	0.112038	0.037963	0.069388	0.0	0.001339	0.0	0.109441	0.0	0.205365	0.0	0.00561	0.127927	0.0	0.0	0.015877	0.0	0.08163	0.228339
036_S_4562	0.0	0.004894	0.000615	0.023723	0.095207	0.056327	0.044668	0.0	0.0	0.0	0.110918	0.0	0.182635	0.0	0.0	0.116752	0.0	0.0	0.00951	0.0	0.072869	0.281881
037_S_0150	0.0	0.00238	0.0	0.083011	0.071814	0.025994	0.053224	0.0	0.0	0.038778	0.175884	0.00332	0.137259	0.0	0.0	0.10396	0.0	0.0	0.012008	0.0	0.052256	0.240111
037_S_0501	0.0	0.012902	0.008338	0.089894	0.055791	0.069918	0.043772	0.0	0.021546	0.022673	0.154417	0.0	0.226261	0.0	0.000898	0.108606	0.0	0.0	0.033099	0.0	0.078072	0.073816
037_S_0566	0.0	0.016138	0.000437	0.074108	0.057575	0.009486	0.064699	0.0	0.0	0.016922	0.165375	0.0	0.144021	0.0	0.000361	0.108039	0.0	0.0	0.011102	0.0	0.07672	0.255018
037_S_0588	0.0	0.033338	0.021618	0.047228	0.078795	0.067851	0.05477	0.0	0.030285	0.047747	0.107486	0.020153	0.247945	0.0	0.0	0.104039	0.0	0.0	0.005891	0.0	0.048226	0.084631
037_S_1078	0.0	0.0	0.0	0.051722	0.057348	0.052923	0.073972	0.0	0.0	0.039448	0.121493	0.007364	0.148345	0.0	0.0	0.100032	0.0	0.0	0.005381	0.0	0.075836	0.266136
037_S_4015	0.0	0.020494	0.009337	0.057597	0.05789	0.057661	0.058524	0.0	0.0	0.0	0.184058	0.004912	0.106101	0.0	0.011055	0.088069	0.0	0.0	0.0	0.0	0.055524	0.288778
037_S_4214	0.0	0.017953	0.0	0.0	0.13559	0.139574	0.058151	0.0	0.005077	0.045408	0.129898	0.033856	0.116856	0.0	0.001848	0.083255	0.0	0.0	0.017212	0.0	0.070273	0.14505
037_S_4381	0.0	0.041756	0.016191	0.052653	0.109166	0.145754	0.047247	0.0	0.006631	0.058562	0.062328	0.023003	0.110578	0.0	0.01944	0.088062	0.0	0.0	0.000734	0.0	0.041217	0.176678
041_S_0679	0.0	0.029463	0.009198	0.044168	0.11875	0.044151	0.050559	0.0	0.0	0.0	0.122153	0.018704	0.174846	0.0	0.000426	0.111883	0.0	0.0	0.005728	0.0	0.065936	0.204033
041_S_1010	0.0	0.0	0.0	0.038431	0.064554	0.012261	0.055183	0.0	0.0	0.0	0.181635	0.0	0.119869	0.0	0.000411	0.121273	0.0	0.0	0.019532	0.0	0.04107	0.345782
041_S_1260	0.0	0.009561	0.0	0.123244	0.020826	0.0	0.053254	0.0	0.0	0.079066	0.18887	0.002902	0.181139	0.0	0.0	0.099864	0.0	0.0	0.001365	0.0	0.067898	0.172009
041_S_1418	0.0	0.0	0.0	0.049303	0.060858	0.047749	0.053105	0.0	0.005664	0.0	0.123003	0.0	0.189523	0.0	0.002892	0.110595	0.0	0.0	0.021215	0.0	0.043306	0.292786
041_S_1425	0.0	0.038011	0.010306	0.04086	0.096194	0.081439	0.050868	0.0	0.027091	0.0	0.134818	0.0	0.193563	0.0	0.0	0.120641	0.0	0.0	0.004982	0.0	0.044453	0.156775
