"","logFC","AveExpr","t","P.Value","adj.P.Val","B","metab_symbol","diffexpressed","delabel"
"HMDB13411",1.020796810209,0.2698663080199,8.80406851678101,5.66135560110787e-16,6.85079800179359e-15,25.6908727404988,"HMDB13411","UP",NA
"HMDB13404",1.12896047147153,0.169777100920398,8.79573361960065,5.97453314109906e-16,6.85079800179359e-15,25.6380105326358,"HMDB13404","UP",NA
"HMDB13341",1.06950907601082,0.290906041502488,8.78504518012384,6.40142333185991e-16,6.8815300817494e-15,25.570254099171,"HMDB13341","UP",NA
"HMDB13405",1.03582473712348,0.345237201666667,8.72877762289113,9.20035186283612e-16,9.30859129651655e-15,25.2141692191797,"HMDB13405","UP",NA
"HMDB13433",1.14593491740483,-0.031259469318408,8.69904812763316,1.11393358130944e-15,1.06442542214013e-14,25.0264445096258,"HMDB13433","UP",NA
"HMDB13448",1.03854546572207,-0.451716832666667,8.60499904811821,2.03604094202036e-15,1.84315285277633e-14,24.43450368005,"HMDB13448","UP",NA
"HMDB00564",1.01463793712961,0.271171108139303,8.45526442291723,5.28661151542221e-15,4.5464859032631e-14,23.4982636885248,"HMDB00564","UP",NA
"HMDB11697",1.00410733496024,0.00919257590049751,8.43368524504888,6.06214531121979e-15,4.96518568347526e-14,23.3639771049644,"HMDB11697","UP",NA
"HMDB13444",0.946507730321313,-0.401161754313433,8.41727139478005,6.72664785612211e-15,5.25901559660456e-14,23.2619440286335,"HMDB13444","UP",NA
"HMDB13409",1.01627198022792,0.316981491985075,8.19548380397978,2.71738062466521e-14,2.03212811931485e-13,21.8927610705566,"HMDB13409","UP",NA
"HMDB08192",0.971041525627386,0.198211129457711,8.0493910505965,6.7504179014421e-14,4.81903469174799e-13,21.0008614137038,"HMDB08192","UP",NA
"HMDB08308",0.664341281959037,-0.780630814024876,8.04343379224917,7.00441088916859e-14,4.81903469174799e-13,20.9646657540067,"HMDB08308","UP",NA
"HMDB13434",0.868765479816618,-0.587955658348259,8.01842724863509,8.17791253467516e-14,5.41000367678511e-13,20.8128791556561,"HMDB13434","UP",NA
"HMDB07965",0.969939464968141,0.264300460179104,7.97847500912657,1.04689887658361e-13,6.66913358416228e-13,20.5708812294769,"HMDB07965","UP",NA
"HMDB13413",1.00078623126228,0.10567136678607,7.87178515846336,2.01851311479609e-13,1.2399437705176e-12,19.9277408961383,"HMDB13413","UP",NA
"HMDB12107",0.955057826118572,0.126011470850746,7.75447825399004,4.13320536735455e-13,2.45141835581029e-12,19.2259137151418,"HMDB12107","UP",NA
"HMDB13437",0.984839192733723,-0.271791195845771,7.71229644003383,5.34100792488898e-13,3.06217787693635e-12,18.974935944754,"HMDB13437","UP",NA
"HMDB13418",0.916063527360243,0.28917340321393,7.70165817342057,5.69708417297747e-13,3.16096283145847e-12,18.9117567895535,"HMDB13418","UP",NA
"HMDB13462",0.856644858383607,0.27027463821393,7.66791531323691,6.9891491059871e-13,3.75666764446807e-12,18.7116779877459,"HMDB13462","UP",NA
"HMDB13410",0.930719411112212,-0.139237096636816,7.62844145842261,8.87186198078046e-13,4.62412200210375e-12,18.4782294494227,"HMDB13410","UP",NA
"HMDB08607",1.00444845214293,0.219732751935323,7.60983884672084,9.92512484479547e-13,5.02094550972006e-12,18.3684439928971,"HMDB08607","UP",NA
"HMDB08539",1.0337894523178,-0.275713397164179,7.59318590852547,1.09723015174033e-12,5.39210245998103e-12,18.2702907035984,"HMDB08539","UP",NA
"HMDB13466",0.81848753965305,0.204174349338308,7.57533529534049,1.22162092762119e-12,5.8366333208568e-12,18.1652109025616,"HMDB13466","UP",NA
"HMDB13124",0.544867761059178,0.562497824522388,7.48204516835972,2.13661738783331e-12,9.9323835326305e-12,17.6183015648073,"HMDB13124","UP",NA
