Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
072_S_4206	0.0	0.0	0.002273	0.028923	0.056937	0.0	0.052195	0.0	0.0	0.0	0.138948	0.0	0.206054	0.0	0.002856	0.120498	0.0	0.0	0.036522	0.0	0.061641	0.293153
072_S_4226	0.0	0.0	0.003437	0.030226	0.107002	0.074611	0.059342	0.0	0.0	0.044873	0.123064	0.011415	0.148909	0.0	0.006639	0.096703	0.0	0.0	0.008948	0.0	0.052197	0.232634
072_S_4383	0.0	0.023857	0.0	0.038879	0.117324	0.053955	0.050146	0.0	0.0	0.0	0.140289	0.0	0.170746	0.0	0.035021	0.107094	0.0	0.0	0.0	0.0	0.084857	0.177832
072_S_4390	0.0	0.0	0.007837	0.033566	0.112199	0.033925	0.056989	0.0	0.003527	0.0	0.13699	0.004186	0.189024	0.0	0.013151	0.113612	0.0	0.0	0.009428	0.0	0.049753	0.235815
072_S_4445	0.0	0.002873	0.000317	0.043443	0.116829	0.021372	0.057329	0.0	0.00731	0.08112	0.153165	0.002777	0.133146	0.0	0.0	0.106905	0.0	0.0	0.004039	0.0	0.039922	0.229452
072_S_4465	0.0	0.016575	0.006688	0.004331	0.194662	0.053359	0.055883	0.0	0.018192	0.008432	0.102678	0.0	0.11929	0.0	0.019616	0.095236	0.0	0.0	0.002061	0.0	0.078631	0.224366
072_S_4522	0.0	0.016218	0.002531	0.086453	0.087935	0.010737	0.06729	0.0	0.0	0.066705	0.187759	0.0	0.105885	0.0	0.010889	0.097641	0.0	0.0	0.0	0.0	0.046547	0.213409
072_S_4610	0.0	0.0	0.0	0.017472	0.086585	0.050825	0.071513	0.0	0.0	0.072196	0.13402	0.0	0.123563	0.0	0.004949	0.101975	0.0	0.0	0.035527	0.0	0.080123	0.221251
072_S_4613	0.0	0.0	0.0	0.0531	0.101802	0.039062	0.067409	0.0	0.0	0.014034	0.14696	0.0	0.165536	0.0	0.005978	0.101625	0.0	0.0	0.012413	0.0	0.044515	0.247567
073_S_2153	0.0	0.0	0.001983	0.072774	0.099717	0.000569	0.056356	0.012576	0.01185	0.0	0.138896	0.0	0.108945	0.0	0.0039	0.120519	0.0	0.0	0.0	0.0	0.043901	0.328014
073_S_2182	0.0	0.0	0.0	0.05258	0.115013	0.04163	0.052858	0.0	0.0	0.108359	0.103385	0.0	0.160477	0.0	0.010719	0.094087	0.0	0.0	0.011468	0.0	0.062728	0.186695
073_S_2190	0.0	0.0	0.0	0.0	0.085264	0.0	0.048642	0.0	0.0	0.0	0.143423	0.0	0.16439	0.0	0.00267	0.128907	0.0	0.0	0.013833	0.0	0.05595	0.35692
073_S_2191	0.0	0.0	0.005613	0.051135	0.068529	0.066364	0.064308	0.0	0.0	0.024222	0.146953	0.0	0.143089	0.0	0.0	0.108987	0.0	0.0	0.012655	0.0	0.07632	0.231826
